candidate_id,search_stage,architecture,coupling_envelope,coupling_od_mm,coupling_body_length_mm,required_engagement_mm,sliding_stroke_mm,stub_length_mm,stack_outward_shift_each_mm,center_end_gap_mm,coupling_body_mutual_clearance_mm,engagement_margin_mm,total_width_mm,left_right_independent,direct_left_right_coupling,status,rejection_reason
S12-C1-SMALL-STUB30-SHIFT10-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,30.0,10.0,21.0,31.0,20.0,299.0,True,False,WIDTH_MARGIN_CRITICAL,
S12-C1-SMALL-STUB30-SHIFT12.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,30.0,12.5,26.0,36.0,20.0,304.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-SMALL-STUB30-SHIFT15-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,30.0,15.0,31.0,41.0,20.0,309.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB5-SHIFT0-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,5.0,0.0,51.0,-19.0,-9.0,290.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB5-SHIFT2.5-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,5.0,2.5,56.0,-14.0,-9.0,290.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB5-SHIFT5-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,5.0,5.0,61.0,-9.0,-9.0,290.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB5-SHIFT7.5-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,5.0,7.5,66.0,-4.0,-9.0,294.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB5-SHIFT10-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,5.0,10.0,71.0,1.0,-9.0,299.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB5-SHIFT12.5-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,5.0,12.5,76.0,6.0,-9.0,304.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB5-SHIFT15-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,5.0,15.0,81.0,11.0,-9.0,309.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB7.5-SHIFT0-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,7.5,0.0,46.0,-19.0,-6.5,290.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB7.5-SHIFT2.5-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,7.5,2.5,51.0,-14.0,-6.5,290.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB7.5-SHIFT5-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,7.5,5.0,56.0,-9.0,-6.5,290.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB7.5-SHIFT7.5-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,7.5,7.5,61.0,-4.0,-6.5,294.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB7.5-SHIFT10-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,7.5,10.0,66.0,1.0,-6.5,299.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
