candidate_id,coupling_envelope,stub_length_mm,required_engagement_mm,axial_geometry_reserve_mm,engagement_margin_mm,status
COUPLING_MEDIUM-STUB20-RES5,COUPLING_MEDIUM,20.0,12.0,5.0,3.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB20-RES0,COUPLING_LARGE,20.0,18.0,0.0,2.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB20-RES1,COUPLING_LARGE,20.0,18.0,1.0,1.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB20-RES2,COUPLING_LARGE,20.0,18.0,2.0,0.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB20-RES3,COUPLING_LARGE,20.0,18.0,3.0,-1.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB20-RES5,COUPLING_LARGE,20.0,18.0,5.0,-3.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB20-RES0,COUPLING_XL,20.0,25.0,0.0,-5.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB20-RES1,COUPLING_XL,20.0,25.0,1.0,-6.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB20-RES2,COUPLING_XL,20.0,25.0,2.0,-7.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB20-RES3,COUPLING_XL,20.0,25.0,3.0,-8.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB20-RES5,COUPLING_XL,20.0,25.0,5.0,-10.0,FAIL_ENGAGEMENT
COUPLING_SMALL-STUB25-RES0,COUPLING_SMALL,25.0,8.0,0.0,17.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB25-RES1,COUPLING_SMALL,25.0,8.0,1.0,16.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB25-RES2,COUPLING_SMALL,25.0,8.0,2.0,15.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB25-RES3,COUPLING_SMALL,25.0,8.0,3.0,14.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB25-RES5,COUPLING_SMALL,25.0,8.0,5.0,12.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB25-RES0,COUPLING_MEDIUM,25.0,12.0,0.0,13.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB25-RES1,COUPLING_MEDIUM,25.0,12.0,1.0,12.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB25-RES2,COUPLING_MEDIUM,25.0,12.0,2.0,11.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB25-RES3,COUPLING_MEDIUM,25.0,12.0,3.0,10.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB25-RES5,COUPLING_MEDIUM,25.0,12.0,5.0,8.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB25-RES0,COUPLING_LARGE,25.0,18.0,0.0,7.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB25-RES1,COUPLING_LARGE,25.0,18.0,1.0,6.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB25-RES2,COUPLING_LARGE,25.0,18.0,2.0,5.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB25-RES3,COUPLING_LARGE,25.0,18.0,3.0,4.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB25-RES5,COUPLING_LARGE,25.0,18.0,5.0,2.0,PASS_GEOMETRIC
COUPLING_XL-STUB25-RES0,COUPLING_XL,25.0,25.0,0.0,0.0,PASS_GEOMETRIC
COUPLING_XL-STUB25-RES1,COUPLING_XL,25.0,25.0,1.0,-1.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB25-RES2,COUPLING_XL,25.0,25.0,2.0,-2.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB25-RES3,COUPLING_XL,25.0,25.0,3.0,-3.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB25-RES5,COUPLING_XL,25.0,25.0,5.0,-5.0,FAIL_ENGAGEMENT
COUPLING_SMALL-STUB30-RES0,COUPLING_SMALL,30.0,8.0,0.0,22.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB30-RES1,COUPLING_SMALL,30.0,8.0,1.0,21.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB30-RES2,COUPLING_SMALL,30.0,8.0,2.0,20.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB30-RES3,COUPLING_SMALL,30.0,8.0,3.0,19.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB30-RES5,COUPLING_SMALL,30.0,8.0,5.0,17.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB30-RES0,COUPLING_MEDIUM,30.0,12.0,0.0,18.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB30-RES1,COUPLING_MEDIUM,30.0,12.0,1.0,17.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB30-RES2,COUPLING_MEDIUM,30.0,12.0,2.0,16.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB30-RES3,COUPLING_MEDIUM,30.0,12.0,3.0,15.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB30-RES5,COUPLING_MEDIUM,30.0,12.0,5.0,13.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB30-RES0,COUPLING_LARGE,30.0,18.0,0.0,12.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB30-RES1,COUPLING_LARGE,30.0,18.0,1.0,11.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB30-RES2,COUPLING_LARGE,30.0,18.0,2.0,10.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB30-RES3,COUPLING_LARGE,30.0,18.0,3.0,9.0,PASS_GEOMETRIC
COUPLING_LARGE-STUB30-RES5,COUPLING_LARGE,30.0,18.0,5.0,7.0,PASS_GEOMETRIC
COUPLING_XL-STUB30-RES0,COUPLING_XL,30.0,25.0,0.0,5.0,PASS_GEOMETRIC
COUPLING_XL-STUB30-RES1,COUPLING_XL,30.0,25.0,1.0,4.0,PASS_GEOMETRIC
COUPLING_XL-STUB30-RES2,COUPLING_XL,30.0,25.0,2.0,3.0,PASS_GEOMETRIC
COUPLING_XL-STUB30-RES3,COUPLING_XL,30.0,25.0,3.0,2.0,PASS_GEOMETRIC
COUPLING_XL-STUB30-RES5,COUPLING_XL,30.0,25.0,5.0,0.0,PASS_GEOMETRIC
